rxn_Class,patentID,rxn_Smiles,reactantSet
1,US08394958B2,CCOC(=O)C.Cc1ccccc1.CC(=O)O.[CH3:1][O:2][c:3]1[c:10]([cH:9][c:7]([cH:6][c:4]1[F:5])[Cl:8])[CH:11]=O.[cH:20]1[cH:21][c:22](=[O:23])[nH:24][c:18]2[c:19]1[c:13]([cH:14][c:15]([cH:17]2)[F:16])[NH2:12].C1COCCO1.[NH4+].[F-]>>[CH3:1][O:2][c:3]1[c:10]([cH:9][c:7]([cH:6][c:4]1[F:5])[Cl:8])[CH:11]=[N:12][c:13]2[cH:14][c:15]([cH:17][c:18]3[c:19]2[cH:20][cH:21][c:22](=[O:23])[nH:24]3)[F:16],"set([3, 4])"
9,US20080176891A1,[cH:9]1[cH:10][n:11][c:12]2[c:7]([c:8]1Cl)[cH:6][c:5]([nH:13]2)[C:2]([F:1])([F:3])[F:4].C1COCCO1.[OH-].[Na+].[Na+].Cl.[I-:14]>>[cH:9]1[cH:10][n:11][c:12]2[c:7]([c:8]1[I:14])[cH:6][c:5]([nH:13]2)[C:2]([F:1])([F:3])[F:4],"set([0, 6])"
2,US08420827B2,CCN(CC)CC.[CH3:1][NH:2][O:3][CH3:4].CN(C)C=O.c1ccc2c(c1)nnn2O.[cH:9]1[cH:10][cH:11][n:12][c:7]([cH:8]1)[C:6](=[O:5])O.C(CCl)Cl.C(=O)(O)[O-].O.[Na+].Cl.Cl>>[CH3:1][N:2]([C:6](=[O:5])[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1)[O:3][CH3:4],"set([1, 4])"
9,US20080045507A1,Cc1ccccc1.CN(C)C=O.c1cc(ccc1C=O)C(=O)N2CCCN(CC2)C3CCC3.[cH:4]1[cH:5][c:6]([cH:9][cH:10][c:3]1[CH:2]=[O:1])[C:7](=[O:8])O.[OH-].O=S(Cl)[Cl:11].[Na+]>>[cH:4]1[cH:5][c:6]([cH:9][cH:10][c:3]1[CH:2]=[O:1])[C:7](=[O:8])[Cl:11],"set([3, 5])"
7,US06093744,B(F)(F)F.CCO.CCOCC.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][CH2:7][CH2:8][CH2:9][C:10](=O)[c:11]1[cH:12][c:13]([c:17]([c:19]([cH:23]1)[CH:20]([CH3:21])[CH3:22])[OH:18])[CH:14]([CH3:15])[CH3:16].CC(S)S.C(Cl)Cl.O.[Ni]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][c:11]1[cH:12][c:13]([c:17]([c:19]([cH:23]1)[CH:20]([CH3:21])[CH3:22])[OH:18])[CH:14]([CH3:15])[CH3:16],set([3])
3,US05830902,[Li+].[Li]CCCC.CCCCCC.CC(C)NC(C)C.CC(C)[N-]C(C)C.[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[N:10]([c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[S:18]2)[CH3:11].C1CCOC1.[CH2:24]1[CH2:23][N:22]2[CH2:27][CH2:26][CH:25]1[C:20](=[O:19])[CH2:21]2.O>>[CH3:11][N:10]1[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[S:18][c:7]3[c:8]1[cH:9][c:4]([cH:5][cH:6]3)[C:2](=[O:3])[CH2:1][C:20]4([CH2:21][N:22]5[CH2:23][CH2:24][CH:25]4[CH2:26][CH2:27]5)[OH:19],"set([5, 7])"
9,US20090264425A1,B([c:9]1[cH:8][c:6]([cH:5][cH:4][c:3]1[O:2][CH3:1])[Cl:7])(O)O.CCOC(=O)C.CC(=O)C.C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.C(=O)(O)[O-].O.[OH-].[OH:10]OS(=O)[O-].[O-]S(=O)[O-].[Na+].[Na+].[Na+].[Na+].Cl.[K+]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([cH:8][c:9]1[OH:10])[Cl:7],"set([0, 7])"
9,US04727152,Cc1ccccc1.[CH3:1][N:2]1[CH2:3][CH:4]([O:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[C:15]1=O)[CH2:5][CH2:6][Cl:7].P12(=[S:16])SP3(=S)SP(=S)(S1)SP(=S)(S2)S3.[S-2].[K+].[K+]>>[CH3:1][N:2]1[CH2:3][CH:4]([O:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[C:15]1=[S:16])[CH2:5][CH2:6][Cl:7],"set([1, 2])"
1,US08436043B2,[BH3-]C#N.CCN(CC)CC.[CH3:12][c:13]1[c:29]2[c:23]([cH:24][cH:25][c:26]([n:28]2)[Cl:27])[o:22][c:14]1[C:15](=O)[CH:16]3[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]3.CC(=O)O.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([cH:10][cH:11]1)[NH2:9].C1CCOC1.C(Cl)Cl.C(=O)(O)[O-].[Na+].[Na+].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4]>>[CH3:12][c:13]1[c:29]2[c:23]([cH:24][cH:25][c:26]([n:28]2)[Cl:27])[o:22][c:14]1[CH:15]([CH:16]3[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]3)[NH:9][c:8]4[cH:7][cH:6][c:5]([cH:11][cH:10]4)[C:3](=[O:4])[O:2][CH3:1],"set([2, 4])"
9,US07435837B2,B1(OC(C(O1)(C)C)(C)C)c2ccccc2C(C)C.Cc1ccc(cc1)S(=O)(=O)[O-].Cc1ccc(cc1)S(=O)(=O)OCC2Cc3cccc(c3O2)c4ccccc4C(C)C.Cc1ccc(cc1)S(=O)(=O)OCC2Cc3cccc(c3O2)Br.Cc1ccccc1P(c2ccccc2C)c3ccccc3C.Cc1ccccc1P(c2ccccc2C)c3ccccc3C.[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[c:10]2[cH:11][cH:12][cH:13][c:14]3[c:15]2[O:16][CH:17]([CH2:20]3)[CH2:18][N:19]=[N+]=[N-].C(=O)([O-])[O-].[N-]=[N+]=[N-].[N-]=[N+]=[N-].[Na+].Cl[Pd]Cl.[K+].[K+].[Pd]>>[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[c:10]2[cH:11][cH:12][cH:13][c:14]3[c:15]2[O:16][CH:17]([CH2:20]3)[CH2:18][NH2:19],set([6])
4,US04496560,CCOC(=O)C.CC#N.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH:35]2[N:12]([C:10]1=[O:11])[C:13](=[C:30]([CH2:33][S:34]2)[CH:31]([CH:32]=O)Br)[C:14](=[O:15])[O:16][CH:17]([c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:24]4[cH:25][cH:26][cH:27][cH:28][cH:29]4.[CH3:36][N:37]([CH3:38])[CH2:39][CH2:40][NH:41][C:42](=[S:44])[NH2:43].C1CCOC1.C(Cl)Cl.C(=O)(O)[O-].[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH:35]2[N:12]([C:10]1=[O:11])[C:13](=[C:30]([CH2:33][S:34]2)[c:31]3[cH:32][n:43][c:42]([s:44]3)[NH:41][CH2:40][CH2:39][N:37]([CH3:36])[CH3:38])[C:14](=[O:15])[O:16][CH:17]([c:18]4[cH:19][cH:20][cH:21][cH:22][cH:23]4)[c:24]5[cH:25][cH:26][cH:27][cH:28][cH:29]5,"set([2, 3])"
1,US08318722B2,CC(C)(C)[O-].CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.Cc1ccccc1.Cl[c:6]1[n:5][c:4]2[c:9]([n:8][cH:7]1)[CH2:10][N:11]([CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[CH2:12][C@H:2]([CH3:1])[O:3]2.O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[CH3:20][C@H:21]1[NH:22][CH2:23][CH2:24][O:25][CH2:26]1.[Na+].[Pd].[Pd]>>[CH3:1][C@@H:2]1[O:3][c:4]2[n:5][c:6]([N:22]3[C@H:21]([CH3:20])[CH2:26][O:25][CH2:24][CH2:23]3)[cH:7][n:8][c:9]2[CH2:10][N:11]([CH2:13][c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:12]1,"set([8, 3])"
3,US20090264650A1,CCOC(=O)C.[CH3:1][C:2](=[O:3])[CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][c:10]([c:12]1[CH2:13][CH:14]2[CH2:15][CH2:16][N:17]([C:24]2=[O:25])[CH:18]3[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]3)[Cl:11].[CH3:26][Mg+].C1CCOC1.[NH4+].[Cl-].[Br-]>>[CH3:1][C:2]([CH3:26])([CH2:4][O:5][c:6]1[cH:7][cH:8][cH:9][c:10]([c:12]1[CH2:13][CH:14]2[CH2:15][CH2:16][N:17]([C:24]2=[O:25])[CH:18]3[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]3)[Cl:11])[OH:3],"set([1, 2])"
2,US20080132551A1,[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([c:9]([cH:17]1)[NH:10][c:11]2[cH:12][cH:13][cH:14][n:15][cH:16]2)[NH2:8].CN(C)C=O.CN(C)c1ccncc1.C1CCOC1.[C:19](=[N:20][c:21]1[n:22][n:23][c:24]([s:29]1)[C:25]([F:26])([F:27])[F:28])=[O:18]>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([c:9]([cH:17]1)[NH:10][c:11]2[cH:12][cH:13][cH:14][n:15][cH:16]2)[NH:8][C:19](=[O:18])[NH:20][c:21]3[n:22][n:23][c:24]([s:29]3)[C:25]([F:26])([F:27])[F:28],"set([0, 4])"
9,US20090227591A1,[B:19]([O:20]C)([O:21]C)OC.CCOCC.CC(C)[Mg+].[cH:14]1[cH:13][cH:12][c:11]([cH:16][cH:15]1)[CH2:10][O:9][c:8]2[c:17]([cH:18][c:5]([cH:6][n:7]2)[C:2]([F:1])([F:3])[F:4])I.C1CCOC1.[OH-].[Na+].[Cl-]>>[B:19]([c:17]1[cH:18][c:5]([cH:6][n:7][c:8]1[O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C:2]([F:1])([F:3])[F:4])([OH:20])[OH:21],"set([0, 3])"
10,US06747027B1,CCOC(=O)C.CN(C)C=O.[cH:1]1[cH:2][cH:3][c:4]([cH:13][cH:14]1)[CH2:5][O:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2.C(CCl)Cl.O.[O:15]=[S:16](=[O:17])=O.O=S(Cl)[Cl:18]>>[cH:1]1[cH:2][cH:3][c:4]([cH:13][cH:14]1)[CH2:5][O:6][c:7]2[cH:8][cH:9][c:10]([cH:11][cH:12]2)[S:16](=[O:15])(=[O:17])[Cl:18],"set([2, 5, 6])"
5,US08394825B2,[CH3:25][CH:23]([CH3:24])[Si:16]([CH:17]([CH3:18])[CH3:19])([CH:20]([CH3:21])[CH3:22])Cl.[CH3:12][C:11]1([CH2:10][c:6]2[cH:7][c:8]([c:3]([cH:4][c:5]2[CH2:15][NH:14]1)[O:2][CH3:1])[OH:9])[CH3:13].c1cnc[nH]1.C(Cl)Cl.C(Cl)(Cl)Cl.O>>[CH3:25][CH:23]([CH3:24])[Si:16]([CH:17]([CH3:18])[CH3:19])([CH:20]([CH3:21])[CH3:22])[O:9][c:8]1[cH:7][c:6]2[c:5]([cH:4][c:3]1[O:2][CH3:1])[CH2:15][NH:14][C:11]([CH2:10]2)([CH3:12])[CH3:13],"set([0, 1])"
3,US07220773B2,CC[N+](CC)(CC)Cc1ccccc1.CC(=O)[O-].CC(=O)[O-].[CH3:5][C:6]([CH3:7])([CH3:8])[O:9][C:10](=[O:11])[CH2:12][O:13][c:14]1[cH:15][c:16]([cH:17][cH:18][c:19]1[Cl:20])I.CN(C)C=O.[CH2:1]=[CH:2][CH:3]=[O:4].C(=O)([O-])[O-].[O-]S(=O)(=S)[O-].[Na+].[Na+].[Na+].[Na+].[Cl-].[Pd+2]>>[CH3:5][C:6]([CH3:7])([CH3:8])[O:9][C:10](=[O:11])[CH2:12][O:13][c:14]1[cH:15][c:16]([cH:17][cH:18][c:19]1[Cl:20])/[CH:1]=[CH:2]/[CH:3]=[O:4],"set([3, 5])"
2,US07135466B2,CCO.Cc1ccccc1.[CH3:24][c:25]1[cH:26][cH:27][cH:28][cH:29][c:30]1[CH2:31][CH2:32][C:33](=[O:34])[N:35]=[C:36]=[S:37].Cc1ccccc1CCC(=O)O.Cc1ccccc1CCC(=O)Cl.[CH3:23][O:22][c:21]1[cH:20][c:19]2[c:9]([cH:8][cH:7][n:6][c:5]2[cH:4][c:3]1[O:2][CH3:1])[O:10][c:11]3[cH:12][cH:13][c:14]([cH:16][c:17]3[F:18])[NH2:15].O=S(Cl)Cl>>[CH3:24][c:25]1[cH:26][cH:27][cH:28][cH:29][c:30]1[CH2:31][CH2:32][C:33](=[O:34])[NH:35][C:36](=[S:37])[NH:15][c:14]2[cH:13][cH:12][c:11]([c:17]([cH:16]2)[F:18])[O:10][c:9]3[cH:8][cH:7][n:6][c:5]4[c:19]3[cH:20][c:21]([c:3]([cH:4]4)[O:2][CH3:1])[O:22][CH3:23],"set([2, 5])"
1,US07981903B2,CCOCC.[CH3:1][O:2][c:3]1[cH:4][c:5]([cH:6][cH:7][c:8]1[N+:9](=[O:10])[O-:11])F.CS(=O)C.[CH2:15]1[CH2:14][C@@H:13]([CH2:18][NH:17][CH2:16]1)[OH:12].C(=O)([O-])[O-].[Na+].Cl.[Cl-].[K+].[K+]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([cH:6][cH:7][c:8]1[N+:9](=[O:10])[O-:11])[N:17]2[CH2:16][CH2:15][CH2:14][C@@H:13]([CH2:18]2)[OH:12],"set([1, 3])"
8,US07064139B2,CC(=O)O.CC(=O)O[OH:21].[cH:12]1[cH:13][cH:14][n+:15]([c:10]([cH:11]1)[S:8](=[O:9])[CH2:7][c:6]2[cH:17][cH:18][c:19]([c:4]([cH:5]2)[N+:2](=[O:1])[O-:3])[Cl:20])[O-:16].O.OS(=O)(=O)[O-].[Na+]>>[cH:12]1[cH:13][cH:14][n+:15]([c:10]([cH:11]1)[S:8](=[O:9])(=[O:21])[CH2:7][c:6]2[cH:17][cH:18][c:19]([c:4]([cH:5]2)[N+:2](=[O:1])[O-:3])[Cl:20])[O-:16],"set([1, 2])"
9,US05830902,CCCCCC.[CH3:4][N:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[S:12][c:13]3[c:19]1[cH:18][cH:17][c:15]([cH:14]3)[CH:16]=O.c1ccc(cc1)P(c2ccccc2)c3ccccc3.C(Cl)Cl.[C:2]([Br:1])([Br:3])(Br)Br.[Zn]>>[CH3:4][N:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[S:12][c:13]3[c:19]1[cH:18][cH:17][c:15]([cH:14]3)[CH:16]=[C:2]([Br:1])[Br:3],"set([1, 4])"
3,US20090215725A1,[CH3:1][NH:2][CH3:3].CO.[C-:31]#[N:32].[cH:26]1[cH:25][cH:24][c:23]([cH:28][cH:27]1)[S:20](=[O:21])(=[O:22])[CH:8]([CH:7]2[CH2:6][CH2:5][C:4](=O)[CH2:30][CH2:29]2)[O:9][CH2:10][c:11]3[cH:12][cH:13][c:14]4[c:18]([cH:19]3)[cH:17][cH:16][nH:15]4.C1CCOC1.O.Cl.[K+]>>[CH3:1][N:2]([CH3:3])[C:4]1([CH2:5][CH2:6][CH:7]([CH2:29][CH2:30]1)[CH:8]([O:9][CH2:10][c:11]2[cH:12][cH:13][c:14]3[c:18]([cH:19]2)[cH:17][cH:16][nH:15]3)[S:20](=[O:21])(=[O:22])[c:23]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[C:31]#[N:32],"set([0, 2, 3])"
8,US04091110,CC(=[O:13])O.[cH:8]1[cH:9][c:10]([cH:12][c:6]([cH:7]1)[O:5][CH:4]=[C:2]([Cl:1])[Cl:3])[CH2:11]Br.C1N2CN3CN1CN(C2)C3.C(Cl)(Cl)(Cl)Cl.O.Cl>>[cH:8]1[cH:9][c:10]([cH:12][c:6]([cH:7]1)[O:5][CH:4]=[C:2]([Cl:1])[Cl:3])[CH:11]=[O:13],"set([0, 1])"
3,US08822503B2,Br/[C:10]([c:5]1[n:4][c:3]([O:2][CH3:1])[c:8]([Cl:9])[cH:7][cH:6]1)=[CH:11]\[CH:12]1[CH2:13][CH2:14][O:15][CH2:16][CH2:17]1.BrCCBr.Br[CH2:28][c:25]1[cH:24][cH:23][c:22]([S:19]([CH3:18])(=[O:20])=[O:21])[cH:27][cH:26]1.C1CCOC1.C[Si](C)(C)Cl.O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd].[Zn].c1coc(P(c2ccco2)c2ccco2)c1>>[CH3:1][O:2][c:3]1[n:4][c:5](/[C:10](=[CH:11]/[CH:12]2[CH2:13][CH2:14][O:15][CH2:16][CH2:17]2)[CH2:28][c:25]2[cH:24][cH:23][c:22]([S:19]([CH3:18])(=[O:20])=[O:21])[cH:27][cH:26]2)[cH:6][cH:7][c:8]1[Cl:9],"set([0, 2])"
1,US06057352,CCO.CC(=O)O.[CH3:14][n:15]1[c:27](=[O:28])[n:19]([c:17]([n:16]1)[Cl:18])[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[CH:26]=O.[CH3:1][N:2]([c:4]1[c:9]([cH:8][cH:7][cH:6][n:5]1)[C:10]([F:11])([F:12])[F:13])[NH2:3].C(=O)(O)[O-].[Na+]>>[CH3:14][n:15]1[c:27](=[O:28])[n:19]([c:17]([n:16]1)[Cl:18])[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[CH:26]=[N:3][N:2]([CH3:1])[c:4]3[c:9]([cH:8][cH:7][cH:6][n:5]3)[C:10]([F:11])([F:12])[F:13],"set([2, 3])"
3,US08822472B2,B([c:29]1[cH:30][cH:31][cH:32][cH:33][c:34]1[Cl:35])(O)O.Cc1ccccc1.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][N:11]([CH:19]([CH2:28]1)[CH2:20][O:21][c:22]2[cH:23][cH:24][cH:25][n:26][cH:27]2)[C:12](=[O:13])[c:14]3[cH:15][cH:16][c:17]([s:18]3)Br.C1COCCO1.C(Cl)Cl.C(=O)([O-])[O-].O.[Na+].[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][N:11]([CH:19]([CH2:28]1)[CH2:20][O:21][c:22]2[cH:23][cH:24][cH:25][n:26][cH:27]2)[C:12](=[O:13])[c:14]3[cH:15][cH:16][c:17]([s:18]3)[c:29]4[cH:30][cH:31][cH:32][cH:33][c:34]4[Cl:35],"set([0, 2])"
7,US20070129358A1,[BH3-]C#N.CC(=O)O.CO.[cH:19]1[cH:18][cH:17][c:16]2[c:21]([cH:20]1)[CH:12]([CH2:13][CH2:14][S:15]2)[CH2:11][C:9]([CH:8]=[N:7][c:6]3[cH:26][cH:27][cH:28][c:29]4[c:5]3[cH:4][cH:3][c:2](=[O:1])[nH:30]4)([C:22]([F:23])([F:24])[F:25])[OH:10].C(=O)(O)[O-].[Na+].[Na+]>>[cH:19]1[cH:18][cH:17][c:16]2[c:21]([cH:20]1)[CH:12]([CH2:13][CH2:14][S:15]2)[CH2:11][C:9]([CH2:8][NH:7][c:6]3[cH:26][cH:27][cH:28][c:29]4[c:5]3[cH:4][cH:3][c:2](=[O:1])[nH:30]4)([C:22]([F:23])([F:24])[F:25])[OH:10],set([3])
